ID,STUDENT_ID,SCHEDULE_ID,ATTEND_DT
1,1,2,10-Sep-19
2,1,2,11-Sep-19
3,1,2,17-Sep-19
4,1,2,18-Sep-19
5,1,2,24-Sep-19
6,1,2,25-Sep-19
7,1,2,01-Oct-19
8,1,2,02-Oct-19
9,1,2,08-Oct-19
10,1,2,09-Oct-19
11,1,2,15-Oct-19
12,1,2,16-Oct-19
13,1,2,22-Oct-19
14,1,2,23-Oct-19
15,1,2,29-Oct-19
16,1,2,30-Oct-19
17,1,2,05-Nov-19
18,1,2,06-Nov-19
19,1,2,12-Nov-19
20,1,2,13-Nov-19
21,1,2,19-Nov-19
22,1,2,20-Nov-19
23,1,2,26-Nov-19
24,1,2,27-Nov-19
25,1,2,03-Dec-19
26,1,2,04-Dec-19
27,1,4,10-Sep-19
28,1,4,17-Sep-19
29,1,4,24-Sep-19
30,1,4,08-Oct-19
31,1,4,15-Oct-19
32,1,4,29-Oct-19
33,1,4,05-Nov-19
34,1,4,12-Nov-19
35,1,4,26-Nov-19
36,1,4,03-Dec-19
37,2,1,09-Sep-19
38,2,1,16-Sep-19
39,2,1,23-Sep-19
40,2,1,07-Oct-19
41,2,1,21-Oct-19
42,2,1,28-Oct-19
43,2,1,04-Nov-19
44,2,1,11-Nov-19
45,2,1,25-Nov-19
46,2,1,02-Dec-19
47,2,1,11-Sep-19
48,2,1,18-Sep-19
49,2,1,25-Sep-19
50,2,1,09-Oct-19
51,2,1,16-Oct-19
52,2,1,30-Oct-19
53,2,1,06-Nov-19
54,2,1,13-Nov-19
55,2,1,20-Sep-19
56,2,1,27-Sep-19
57,2,1,11-Oct-19
58,2,1,18-Oct-19
59,2,1,01-Nov-19
60,2,1,08-Nov-19
61,2,1,22-Nov-19
62,2,1,29-Nov-19
63,2,1,06-Dec-19
64,2,2,10-Sep-19
65,2,2,11-Sep-19
66,2,2,17-Sep-19
67,2,2,18-Sep-19
68,2,2,24-Sep-19
69,2,2,25-Sep-19
70,2,2,01-Oct-19
71,2,2,02-Oct-19
72,2,2,08-Oct-19
73,2,2,09-Oct-19
74,2,2,15-Oct-19
75,2,2,16-Oct-19
76,2,2,22-Oct-19
77,2,2,23-Oct-19
78,2,2,29-Oct-19
79,2,2,30-Oct-19
80,2,2,05-Nov-19
81,2,2,06-Nov-19
82,2,2,12-Nov-19
83,2,2,13-Nov-19
84,2,2,19-Nov-19
85,2,2,20-Nov-19
86,2,2,26-Nov-19
87,2,2,27-Nov-19
88,2,2,03-Dec-19
89,2,2,04-Dec-19
90,2,3,09-Sep-19
91,2,3,16-Sep-19
92,2,3,23-Sep-19
93,2,3,14-Oct-19
94,2,3,21-Oct-19
95,2,3,28-Oct-19
96,2,3,04-Nov-19
97,2,3,18-Nov-19
98,2,3,02-Dec-19
99,2,3,12-Sep-19
100,2,3,19-Sep-19
101,2,3,03-Oct-19
102,2,3,10-Oct-19
103,2,3,17-Oct-19
104,2,3,24-Oct-19
105,2,3,07-Nov-19
106,2,3,14-Nov-19
107,2,3,28-Nov-19
108,2,3,05-Dec-19
109,6,1,09-Sep-19
110,6,1,16-Sep-19
111,6,1,23-Sep-19
112,6,1,30-Sep-19
113,6,1,07-Oct-19
114,6,1,14-Oct-19
115,6,1,21-Oct-19
116,6,1,28-Oct-19
117,6,1,04-Nov-19
118,6,1,11-Nov-19
119,6,1,18-Nov-19
120,6,1,25-Nov-19
121,6,1,02-Dec-19
122,6,1,11-Sep-19
123,6,1,18-Sep-19
124,6,1,25-Sep-19
125,6,1,02-Oct-19
126,6,1,09-Oct-19
127,6,1,16-Oct-19
128,6,1,23-Oct-19
129,6,1,30-Oct-19
130,6,1,06-Nov-19
131,6,1,13-Nov-19
132,6,1,20-Nov-19
133,6,1,27-Nov-19
134,6,1,04-Dec-19
135,6,1,13-Sep-19
136,6,1,20-Sep-19
137,6,1,27-Sep-19
138,6,1,04-Oct-19
139,6,1,11-Oct-19
140,6,1,18-Oct-19
141,6,1,25-Oct-19
142,6,1,01-Nov-19
143,6,1,08-Nov-19
144,6,1,15-Nov-19
145,6,1,22-Nov-19
146,6,1,29-Nov-19
147,6,1,06-Dec-19
148,6,2,10-Sep-19
149,6,2,11-Sep-19
150,6,2,17-Sep-19
151,6,2,18-Sep-19
152,6,2,24-Sep-19
153,6,2,25-Sep-19
154,6,2,01-Oct-19
155,6,2,02-Oct-19
156,6,2,08-Oct-19
157,6,2,09-Oct-19
158,6,2,15-Oct-19
159,6,2,16-Oct-19
160,6,2,22-Oct-19
161,6,2,23-Oct-19
162,6,2,29-Oct-19
163,6,2,30-Oct-19
164,6,2,05-Nov-19
165,6,2,06-Nov-19
166,6,2,12-Nov-19
167,6,2,13-Nov-19
168,6,2,19-Nov-19
169,6,2,20-Nov-19
170,6,2,26-Nov-19
171,6,2,27-Nov-19
172,6,2,03-Dec-19
173,6,2,04-Dec-19
174,7,3,09-Sep-19
175,7,3,16-Sep-19
176,7,3,23-Sep-19
177,7,3,30-Sep-19
178,7,3,07-Oct-19
179,7,3,14-Oct-19
180,7,3,21-Oct-19
181,7,3,28-Oct-19
182,7,3,04-Nov-19
183,7,3,11-Nov-19
184,7,3,18-Nov-19
185,7,3,25-Nov-19
186,7,3,02-Dec-19
187,7,3,12-Sep-19
188,7,3,19-Sep-19
189,7,3,26-Sep-19
190,7,3,03-Oct-19
191,7,3,10-Oct-19
192,7,3,17-Oct-19
193,7,3,24-Oct-19
194,7,3,31-Oct-19
195,7,3,14-Nov-19
196,7,3,21-Nov-19
197,7,3,28-Nov-19
198,7,3,05-Dec-19
199,10,4,10-Sep-19
200,10,4,17-Sep-19
201,10,4,01-Oct-19
202,10,4,15-Oct-19
203,10,4,22-Oct-19
204,10,4,29-Oct-19
205,10,4,12-Nov-19
206,10,4,19-Nov-19
207,10,4,03-Dec-19
208,1,7,27-Jan-20
209,1,7,03-Feb-20
210,1,7,10-Feb-20
211,1,7,17-Feb-20
212,1,7,24-Feb-20
213,1,7,02-Mar-20
214,1,7,09-Mar-20
215,1,7,16-Mar-20
216,1,7,23-Mar-20
217,1,7,30-Mar-20
218,1,7,06-Apr-20
219,1,7,13-Apr-20
220,1,7,20-Apr-20
221,1,7,29-Jan-20
222,1,7,05-Feb-20
223,1,7,12-Feb-20
224,1,7,19-Feb-20
225,1,7,26-Feb-20
226,1,7,04-Mar-20
227,1,7,11-Mar-20
228,1,7,18-Mar-20
229,1,7,25-Mar-20
230,1,7,01-Apr-20
231,1,7,08-Apr-20
232,1,7,15-Apr-20
233,1,7,22-Apr-20
234,1,7,31-Jan-20
235,1,7,07-Feb-20
236,1,7,14-Feb-20
237,1,7,21-Feb-20
238,1,7,28-Feb-20
239,1,7,06-Mar-20
240,1,7,13-Mar-20
241,1,7,20-Mar-20
242,1,7,27-Mar-20
243,1,7,03-Apr-20
244,1,7,10-Apr-20
245,1,7,17-Apr-20
246,1,7,24-Apr-20
247,10,5,27-Jan-20
248,10,5,03-Feb-20
249,10,5,10-Feb-20
250,10,5,17-Feb-20
251,10,5,24-Feb-20
252,10,5,02-Mar-20
253,10,5,09-Mar-20
254,10,5,16-Mar-20
255,10,5,23-Mar-20
256,10,5,30-Mar-20
257,10,5,06-Apr-20
258,10,5,13-Apr-20
259,10,5,20-Apr-20
260,10,5,29-Jan-20
261,10,5,05-Feb-20
262,10,5,12-Feb-20
263,10,5,19-Feb-20
264,10,5,26-Feb-20
265,10,5,04-Mar-20
266,10,5,11-Mar-20
267,10,5,18-Mar-20
268,10,5,25-Mar-20
269,10,5,01-Apr-20
270,10,5,08-Apr-20
271,10,5,15-Apr-20
272,10,5,22-Apr-20
273,10,10,30-Jan-20
274,10,10,06-Feb-20
275,10,10,13-Feb-20
276,10,10,20-Feb-20
277,10,10,27-Feb-20
278,10,10,05-Mar-20
279,10,10,12-Mar-20
280,10,10,19-Mar-20
281,10,10,26-Mar-20
282,10,10,02-Apr-20
283,10,10,09-Apr-20
284,10,10,16-Apr-20
285,10,10,23-Apr-20
286,10,10,31-Jan-20
287,10,10,07-Feb-20
288,10,10,14-Feb-20
289,10,10,21-Feb-20
290,10,10,28-Feb-20
291,10,10,06-Mar-20
292,10,10,13-Mar-20
293,10,10,20-Mar-20
294,10,10,27-Mar-20
295,10,10,03-Apr-20
296,10,10,10-Apr-20
297,10,10,17-Apr-20
298,10,10,24-Apr-20
299,13,7,27-Jan-20
300,13,7,03-Feb-20
301,13,7,10-Feb-20
302,13,7,17-Feb-20
303,13,7,24-Feb-20
304,13,7,02-Mar-20
305,13,7,09-Mar-20
306,13,7,16-Mar-20
307,13,7,23-Mar-20
308,13,7,30-Mar-20
309,13,7,06-Apr-20
310,13,7,13-Apr-20
311,13,7,20-Apr-20
312,13,7,29-Jan-20
313,13,7,05-Feb-20
314,13,7,12-Feb-20
315,13,7,19-Feb-20
316,13,7,26-Feb-20
317,13,7,04-Mar-20
318,13,7,11-Mar-20
319,13,7,18-Mar-20
320,13,7,25-Mar-20
321,13,7,01-Apr-20
322,13,7,08-Apr-20
323,13,7,15-Apr-20
324,13,7,22-Apr-20
325,13,7,31-Jan-20
326,13,7,07-Feb-20
327,13,7,14-Feb-20
328,13,7,21-Feb-20
329,13,7,28-Feb-20
330,13,7,06-Mar-20
331,13,7,13-Mar-20
332,13,7,20-Mar-20
333,13,7,27-Mar-20
334,13,7,03-Apr-20
335,13,7,10-Apr-20
336,13,7,17-Apr-20
337,13,7,24-Apr-20
338,13,8,27-Jan-20
339,13,8,03-Feb-20
340,13,8,10-Feb-20
341,13,8,17-Feb-20
342,13,8,02-Mar-20
343,13,8,09-Mar-20
344,13,8,23-Mar-20
345,13,8,30-Mar-20
346,13,8,06-Apr-20
347,13,8,13-Apr-20
348,13,8,28-Jan-20
349,13,8,04-Feb-20
350,13,8,18-Feb-20
351,13,8,25-Feb-20
352,13,8,03-Mar-20
353,13,8,17-Mar-20
354,13,8,31-Mar-20
355,13,8,07-Apr-20
356,13,8,21-Apr-20
357,13,10,30-Jan-20
358,13,10,06-Feb-20
359,13,10,13-Feb-20
360,13,10,20-Feb-20
361,13,10,27-Feb-20
362,13,10,05-Mar-20
363,13,10,12-Mar-20
364,13,10,19-Mar-20
365,13,10,26-Mar-20
366,13,10,02-Apr-20
367,13,10,09-Apr-20
368,13,10,16-Apr-20
369,13,10,23-Apr-20
370,13,10,07-Feb-20
371,13,10,14-Feb-20
372,13,10,21-Feb-20
373,13,10,28-Feb-20
374,13,10,13-Mar-20
375,13,10,20-Mar-20
376,13,10,27-Mar-20
377,13,10,03-Apr-20
378,13,10,10-Apr-20
379,13,10,17-Apr-20
380,13,10,24-Apr-20
