ID,STUDENT_ID,SCHEDULE_ID,ACADEMIC_YEAR,SEMESTER,ENROLL_DT
1,1,2,2019/2020,1,17-Aug-19
2,1,4,2019/2020,1,17-Aug-19
3,2,1,2019/2020,1,17-Aug-19
4,2,2,2019/2020,1,17-Aug-19
5,2,3,2019/2020,1,17-Aug-19
6,6,1,2019/2020,1,17-Aug-19
7,6,2,2019/2020,1,17-Aug-19
8,7,3,2019/2020,1,17-Aug-19
9,10,4,2019/2020,1,17-Aug-19
10,1,7,2019/2020,2,17-Aug-19
11,10,5,2019/2020,2,17-Aug-19
12,10,10,2019/2020,2,17-Aug-19
13,13,7,2019/2020,2,17-Aug-19
14,13,8,2019/2020,2,17-Aug-19
15,13,10,2019/2020,2,17-Aug-19
